Date,Day,WeekNr,Month,ShortMonth,MonthNr,Quarter,Year
20190101,Tuesday,1,January,Jan,1,1,2019
20190102,Wednesday,1,January,Jan,1,1,2019
20190103,Thursday,1,January,Jan,1,1,2019
20190104,Friday,1,January,Jan,1,1,2019
20190105,Saturday,1,January,Jan,1,1,2019
20190106,Sunday,2,January,Jan,1,1,2019
20190107,Monday,2,January,Jan,1,1,2019
20190108,Tuesday,2,January,Jan,1,1,2019
20190109,Wednesday,2,January,Jan,1,1,2019
20190110,Thursday,2,January,Jan,1,1,2019
20190111,Friday,2,January,Jan,1,1,2019
20190112,Saturday,2,January,Jan,1,1,2019
20190113,Sunday,3,January,Jan,1,1,2019
20190114,Monday,3,January,Jan,1,1,2019
20190115,Tuesday,3,January,Jan,1,1,2019
20190116,Wednesday,3,January,Jan,1,1,2019
20190117,Thursday,3,January,Jan,1,1,2019
20190118,Friday,3,January,Jan,1,1,2019
20190119,Saturday,3,January,Jan,1,1,2019
20190120,Sunday,4,January,Jan,1,1,2019
20190121,Monday,4,January,Jan,1,1,2019
20190122,Tuesday,4,January,Jan,1,1,2019
20190123,Wednesday,4,January,Jan,1,1,2019
20190124,Thursday,4,January,Jan,1,1,2019
20190125,Friday,4,January,Jan,1,1,2019
20190126,Saturday,4,January,Jan,1,1,2019
20190127,Sunday,5,January,Jan,1,1,2019
20190128,Monday,5,January,Jan,1,1,2019
20190129,Tuesday,5,January,Jan,1,1,2019
20190130,Wednesday,5,January,Jan,1,1,2019
20190131,Thursday,5,January,Jan,1,1,2019
20190201,Friday,5,February,Feb,2,1,2019
20190202,Saturday,5,February,Feb,2,1,2019
20190203,Sunday,6,February,Feb,2,1,2019
20190204,Monday,6,February,Feb,2,1,2019
20190205,Tuesday,6,February,Feb,2,1,2019
20190206,Wednesday,6,February,Feb,2,1,2019
20190207,Thursday,6,February,Feb,2,1,2019
20190208,Friday,6,February,Feb,2,1,2019
20190209,Saturday,6,February,Feb,2,1,2019
20190210,Sunday,7,February,Feb,2,1,2019
20190211,Monday,7,February,Feb,2,1,2019
20190212,Tuesday,7,February,Feb,2,1,2019
20190213,Wednesday,7,February,Feb,2,1,2019
20190214,Thursday,7,February,Feb,2,1,2019
20190215,Friday,7,February,Feb,2,1,2019
20190216,Saturday,7,February,Feb,2,1,2019
20190217,Sunday,8,February,Feb,2,1,2019
20190218,Monday,8,February,Feb,2,1,2019
20190219,Tuesday,8,February,Feb,2,1,2019
20190220,Wednesday,8,February,Feb,2,1,2019
20190221,Thursday,8,February,Feb,2,1,2019
20190222,Friday,8,February,Feb,2,1,2019
20190223,Saturday,8,February,Feb,2,1,2019
20190224,Sunday,9,February,Feb,2,1,2019
20190225,Monday,9,February,Feb,2,1,2019
20190226,Tuesday,9,February,Feb,2,1,2019
20190227,Wednesday,9,February,Feb,2,1,2019
20190228,Thursday,9,February,Feb,2,1,2019
20190301,Friday,9,March,Mar,3,1,2019
20190302,Saturday,9,March,Mar,3,1,2019
20190303,Sunday,10,March,Mar,3,1,2019
20190304,Monday,10,March,Mar,3,1,2019
20190305,Tuesday,10,March,Mar,3,1,2019
20190306,Wednesday,10,March,Mar,3,1,2019
20190307,Thursday,10,March,Mar,3,1,2019
20190308,Friday,10,March,Mar,3,1,2019
20190309,Saturday,10,March,Mar,3,1,2019
20190310,Sunday,11,March,Mar,3,1,2019
20190311,Monday,11,March,Mar,3,1,2019
20190312,Tuesday,11,March,Mar,3,1,2019
20190313,Wednesday,11,March,Mar,3,1,2019
20190314,Thursday,11,March,Mar,3,1,2019
20190315,Friday,11,March,Mar,3,1,2019
20190316,Saturday,11,March,Mar,3,1,2019
20190317,Sunday,12,March,Mar,3,1,2019
20190318,Monday,12,March,Mar,3,1,2019
20190319,Tuesday,12,March,Mar,3,1,2019
20190320,Wednesday,12,March,Mar,3,1,2019
20190321,Thursday,12,March,Mar,3,1,2019
20190322,Friday,12,March,Mar,3,1,2019
20190323,Saturday,12,March,Mar,3,1,2019
20190324,Sunday,13,March,Mar,3,1,2019
20190325,Monday,13,March,Mar,3,1,2019
20190326,Tuesday,13,March,Mar,3,1,2019
20190327,Wednesday,13,March,Mar,3,1,2019
20190328,Thursday,13,March,Mar,3,1,2019
20190329,Friday,13,March,Mar,3,1,2019
